osm:machinetag,mz:machinetag
osm:*=earth,other:nature=planet
osm:place=continent,other:nature=continent
osm:boundary:type=aboriginal_lands,other:addressing=aboriginal_lands
osm:place=borough,other:addressing=borough
osm:placetype=macrohood,other:addressing=macrohood
osm:placetype=neighbourhood,other:addressing=neighborhood
osm:admin_level=8,other:addressing=locality
osm:placetype=campus,other:addressing=campus
osm:placetype=microhood,other:addressing=microhood
osm:boundary=national_park,do_and_see:attraction=national_park
osm:landuse=forest,do_and_see:attraction=national_forest
osm:aeroway=aerodrome,mobility:mobility=international_airport
osm:amenity=university,education_and_religion:education=university
osm:amenity=hospital,health:health=hospital
osm:tourism=theme_park,do_and_see:fun=theme_park
osm:tourism=zoo,do_and_see:fun=zoo
osm:landuse=park,do_and_see:attraction=park
osm:historic=battlefield,do_and_see:attraction=battlefield
osm:tourism=resort,shop_and_service:sleep=ski_resort
osm:natural=beach,do_and_see:attraction=beach
osm:leisure=nature_reserve,do_and_see:attraction=nature_reserve
osm:admin_level=2,other:addressing=country
"osm:featurecla=Disputed (please verify)",other:addressing=disputed
"osm:featurecla=Indefinite (please verify)",other:addressing=indefinite
"osm:featurecla=Indeterminant frontier",other:addressing=indeterminate
"osm:featurecla=Lease limit",other:addressing=lease_limit
"osm:featurecla=Line of control (please verify)",other:addressing=line_of_control
"osm:featurecla=Overlay limit",other:addressing=overlay_limit
osm:admin_level=4,other:addressing=region
osm:highway=motorway,other:transport=motorway
osm:highway=rest_area,mobility:mobility=rest_area
osm:service=high_speed,other:transport=high_speed_train
osm:highway=trunk,other:transport=trunk
osm:highway=primary,other:transport=primary
osm:highway=secondary,other:transport=secondary
osm:leisure=golf_course,do_and_see:fun=golf_course
osm:leisure=park,do_and_see:attraction=other_park
osm:tourism=aquarium,do_and_see:fun=aquarium
osm:landuse=military,other:civic=other_military_area
osm:aeroway=airport,mobility:mobility=airport
osm:amenity=college,education_and_religion:education=college
osm:leisure=stadium,do_and_see:fun=football_stadium
osm:leisure=stadium,do_and_see:fun=stadium
osm:shop=mall,shop_and_service:shop=shopping_mall
osm:tourism=museum,do_and_see:fun=history_museum
osm:man_made=observatory,do_and_see:fun=observatory
osm:highway=motorway_link,other:transport=motorway_link
osm:highway=tertiary,other:transport=tertiary
osm:highway=trunk_link,other:transport=trunk_link
osm:route=ferry,other:transport=ferry
osm:highway=primary_link,other:transport=primary_link
osm:highway=secondary_link,other:transport=secondary_link
osm:highway=tertiary_link,other:transport=tertiary_link
osm:amenity=school,education_and_religion:education=school
osm:landuse=recreation_ground,do_and_see:fun=recreation_facility
osm:boundary=protected_area,do_and_see:attraction=other_parks_and_outdoors
osm:tourism=viewpoint,do_and_see:attraction=scenic_view
osm:place=archipelago,other:nature=archipelago
osm:natural=volcano,other:nature=volcano
osm:natural=peak,other:nature=mountain
osm:waterway=dam,other:civic=dam
