sg:machinetag,mz:machinetag
"Public Place:Park=National",do_and_see:attraction=national_park
"Public Place:Education=University",education_and_religion:education=university
"Services:Health Services=Hospital",health:health=hospital
"Entertainment:Recreation=Theme Park",do_and_see:fun=theme_park
Entertainment:Museum=Zoo,do_and_see:fun=zoo
"Public Place:Park=County",do_and_see:attraction=county_park
"Public Place:Park=Provincial",do_and_see:attraction=provincial_park
"Public Place:Park=Municipal",do_and_see:attraction=municipal_park
"Entertainment:Sports & Exercise=Golf",do_and_see:fun=golf_course
Entertainment:Museum=Aquarium,do_and_see:fun=aquarium
"Public Place:Education=College",education_and_religion:education=college
Entertainment:Arena=Stadium,do_and_see:fun=stadium
"Public Place:Structure=Shopping Mall",shop_and_service:shop=shopping_mall
"Entertainment:Museum=History Museum",do_and_see:fun=history_museum
"Entertainment:Recreation=Amusement Park",do_and_see:fun=amusement_park
"Entertainment:Museum=Art Museum",do_and_see:fun=art_museum
"Entertainment:Arts & Performance=Opera",do_and_see:fun=opera
"Entertainment:Arts & Performance=Symphony",do_and_see:fun=symphony
"Public Place:Education=School",education_and_religion:education=school
"Public Place:Landmark=Scenic View",do_and_see:attraction=scenic_view
"Entertainment:Cinema=Movie Theater",do_and_see:fun=movie_theater
"Public Place:Government=Prison",other:civic=prison
"Public Place:Landmark=Unesco World Heritage Site",do_and_see:attraction=unesco_world_heritage_site
"Public Place:Government=Jail",other:civic=jail
"Public Place:Government=Palace",other:civic=palace
"Public Place:Military Area=Army Base",other:civic=army_base
"Public Place:Military Area=Air Force Base",other:civic=air_force_base
"Public Place:Military Area=Naval Base",other:civic=naval_base
"Public Place:Military Area=Coast Guard Base",other:civic=coast_guard_base
Transportation:Airport=International,mobility:mobility=international_terminal
"Public Place:Education=Junior College",education_and_religion:education=junior_college
"Entertainment:Arena=Auto Racetrack",do_and_see:fun=auto_racetrack
"Entertainment:Arena=Horse Racetrack",do_and_see:fun=horse_racetrack
"Entertainment:Arena=Indoor Arena",do_and_see:fun=indoor_arena
"Entertainment:Sports & Exercise=Skate Park",do_and_see:fun=skate_park
